date,feature_index,CO
2025-09-25T00:00:00.000Z,0,0.03483113646507263
2025-09-27T00:00:00.000Z,0,0.03665881231427193
2025-09-23T00:00:00.000Z,0,0.03546065837144852
2025-09-24T00:00:00.000Z,0,0.04465146362781525
2025-09-21T00:00:00.000Z,0,0.03162150830030441
2025-09-22T00:00:00.000Z,0,0.028531629592180252
2025-09-28T00:00:00.000Z,0,0.029636312276124954
2025-09-26T00:00:00.000Z,0,0.02948480285704136
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,0.031266480684280396
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,0.030049866065382957
2025-12-21T00:00:00.000Z,0,0.023295409977436066
2025-12-24T00:00:00.000Z,0,0.020132461562752724
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,0.024365290999412537
2026-02-04T00:00:00.000Z,0,0.024781178683042526
2026-02-05T00:00:00.000Z,0,
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,0.03448019176721573
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,
2026-02-10T00:00:00.000Z,0,0.025642765685915947
2026-05-15T00:00:00.000Z,0,0.028967121616005898
2026-05-17T00:00:00.000Z,0,0.023931147530674934
2026-05-11T00:00:00.000Z,0,0.028144018724560738
2026-05-16T00:00:00.000Z,0,
2026-05-18T00:00:00.000Z,0,
2026-05-12T00:00:00.000Z,0,0.02078584022819996
2026-05-14T00:00:00.000Z,0,0.02470412105321884
2026-05-13T00:00:00.000Z,0,0.030798370018601418
2026-07-31T00:00:00.000Z,0,0.03611571341753006
2026-08-01T00:00:00.000Z,0,0.03235626965761185
2026-08-06T00:00:00.000Z,0,0.03165065497159958
2026-07-30T00:00:00.000Z,0,0.03035622462630272
2026-08-04T00:00:00.000Z,0,0.03130254149436951
2026-08-05T00:00:00.000Z,0,0.028114812448620796
2026-08-02T00:00:00.000Z,0,0.0306286308914423
2026-08-03T00:00:00.000Z,0,0.026036331430077553
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,0.02746870368719101
2025-09-14T00:00:00.000Z,0,0.027413906529545784
2025-09-19T00:00:00.000Z,0,
2025-09-13T00:00:00.000Z,0,0.029272427782416344
2025-09-17T00:00:00.000Z,0,0.027471983805298805
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,0.030286166816949844
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,
2025-10-25T00:00:00.000Z,0,
2025-10-24T00:00:00.000Z,0,
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,
2026-01-02T00:00:00.000Z,0,
2025-12-28T00:00:00.000Z,0,
2025-12-30T00:00:00.000Z,0,
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,
2025-12-27T00:00:00.000Z,0,
2026-02-14T00:00:00.000Z,0,
2026-02-13T00:00:00.000Z,0,
2026-02-16T00:00:00.000Z,0,
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,0.030835922807455063
2026-02-12T00:00:00.000Z,0,
2026-02-17T00:00:00.000Z,0,
2026-05-21T00:00:00.000Z,0,
2026-05-19T00:00:00.000Z,0,0.030935587361454964
2026-05-23T00:00:00.000Z,0,0.024915697053074837
2026-05-25T00:00:00.000Z,0,0.030864300206303596
2026-05-26T00:00:00.000Z,0,0.031630631536245346
2026-05-20T00:00:00.000Z,0,
2026-05-22T00:00:00.000Z,0,
2026-05-24T00:00:00.000Z,0,0.027328617870807648
2026-06-22T00:00:00.000Z,0,0.025530274957418442
2026-06-26T00:00:00.000Z,0,0.025280892848968506
2026-06-20T00:00:00.000Z,0,0.03358352929353714
2026-06-21T00:00:00.000Z,0,0.026065433397889137
2026-06-27T00:00:00.000Z,0,0.0291903056204319
2026-06-23T00:00:00.000Z,0,0.028903903439641
2026-06-24T00:00:00.000Z,0,0.025339262560009956
2026-06-25T00:00:00.000Z,0,0.026810722425580025
2025-09-08T00:00:00.000Z,0,
2025-09-10T00:00:00.000Z,0,
2025-09-12T00:00:00.000Z,0,0.026741931214928627
2025-09-11T00:00:00.000Z,0,
2025-09-06T00:00:00.000Z,0,
2025-09-07T00:00:00.000Z,0,
2025-09-09T00:00:00.000Z,0,0.028094204142689705
2025-09-05T00:00:00.000Z,0,
2026-06-13T00:00:00.000Z,0,0.02575361728668213
2026-06-16T00:00:00.000Z,0,0.02498939447104931
2026-06-15T00:00:00.000Z,0,0.029067786410450935
2026-06-19T00:00:00.000Z,0,0.02742713876068592
2026-06-18T00:00:00.000Z,0,0.024860845878720284
2026-06-14T00:00:00.000Z,0,0.02514137700200081
2026-06-17T00:00:00.000Z,0,0.028883155435323715
2026-06-12T00:00:00.000Z,0,
2025-11-06T00:00:00.000Z,0,0.029468396678566933
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,
2025-11-02T00:00:00.000Z,0,
2025-11-04T00:00:00.000Z,0,
2025-11-07T00:00:00.000Z,0,
2025-11-01T00:00:00.000Z,0,
2026-02-25T00:00:00.000Z,0,
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,
2026-02-27T00:00:00.000Z,0,
2026-06-06T00:00:00.000Z,0,0.021757563576102257
2026-06-11T00:00:00.000Z,0,0.03219472989439964
2026-06-05T00:00:00.000Z,0,
2026-06-07T00:00:00.000Z,0,0.024343600496649742
2026-06-10T00:00:00.000Z,0,0.032988011837005615
2026-06-09T00:00:00.000Z,0,0.029872030019760132
2026-06-08T00:00:00.000Z,0,
2026-06-04T00:00:00.000Z,0,0.032866619527339935
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,0.02657306008040905
2026-01-19T00:00:00.000Z,0,0.029020516201853752
2026-01-21T00:00:00.000Z,0,0.026514200493693352
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,0.03022739477455616
2026-06-03T00:00:00.000Z,0,0.030715251341462135
2026-05-29T00:00:00.000Z,0,0.037304386496543884
2026-06-02T00:00:00.000Z,0,0.025349022820591927
2026-06-01T00:00:00.000Z,0,0.02523222379386425
2026-05-30T00:00:00.000Z,0,0.02768155001103878
2026-05-28T00:00:00.000Z,0,0.03125130012631416
2026-05-27T00:00:00.000Z,0,0.0307234488427639
2026-05-31T00:00:00.000Z,0,0.028827687725424767
2025-08-25T00:00:00.000Z,0,0.028239663690328598
2025-08-26T00:00:00.000Z,0,
2025-08-27T00:00:00.000Z,0,0.030417045578360558
2025-08-24T00:00:00.000Z,0,
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,0.021792998537421227
2026-01-13T00:00:00.000Z,0,
2026-01-16T00:00:00.000Z,0,
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
2026-05-08T00:00:00.000Z,0,0.03434247523546219
2026-05-06T00:00:00.000Z,0,0.02574922889471054
2026-05-10T00:00:00.000Z,0,0.029547473415732384
2026-05-03T00:00:00.000Z,0,0.02764761820435524
2026-05-07T00:00:00.000Z,0,0.02039269730448723
2026-05-09T00:00:00.000Z,0,0.030194172635674477
2026-05-04T00:00:00.000Z,0,
2026-05-05T00:00:00.000Z,0,0.023884981870651245
2026-07-28T00:00:00.000Z,0,0.031915005296468735
2026-07-24T00:00:00.000Z,0,0.03211528807878494
