date,feature_index,SO2
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,4.245152813382447E-4
2025-11-23T00:00:00.000Z,0,3.9344714605249465E-4
2025-11-18T00:00:00.000Z,0,4.361445098766126E-5
2025-11-21T00:00:00.000Z,0,-1.476624674978666E-5
2025-11-16T00:00:00.000Z,0,
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,-1.2345079449005425E-4
2025-12-21T00:00:00.000Z,0,-3.555829171091318E-4
2025-12-24T00:00:00.000Z,0,-1.3831793330609798E-4
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,-6.604190730286064E-6
2026-02-04T00:00:00.000Z,0,7.581600220873952E-5
2026-02-05T00:00:00.000Z,0,
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,1.9709308980964124E-4
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,
2026-02-10T00:00:00.000Z,0,
2026-04-16T00:00:00.000Z,0,1.2728405999951065E-4
2026-04-13T00:00:00.000Z,0,3.2699230359867215E-4
2026-04-15T00:00:00.000Z,0,7.086670666467398E-5
2026-04-12T00:00:00.000Z,0,1.698391861282289E-4
2026-04-10T00:00:00.000Z,0,
2026-04-11T00:00:00.000Z,0,2.5602642563171685E-4
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,1.9323849119246006E-4
2026-07-09T00:00:00.000Z,0,-2.337506739422679E-4
2026-07-10T00:00:00.000Z,0,-4.914210876449943E-6
2026-07-07T00:00:00.000Z,0,-3.228569985367358E-4
2026-07-08T00:00:00.000Z,0,8.168620988726616E-4
2026-07-11T00:00:00.000Z,0,2.5095674209296703E-4
2026-07-13T00:00:00.000Z,0,1.0578062210697681E-4
2026-07-06T00:00:00.000Z,0,
2026-07-12T00:00:00.000Z,0,2.581670705694705E-4
2026-03-08T00:00:00.000Z,0,-6.436731928260997E-5
2026-03-09T00:00:00.000Z,0,
2026-03-12T00:00:00.000Z,0,-8.761396748013794E-5
2026-03-10T00:00:00.000Z,0,2.694535651244223E-4
2026-03-13T00:00:00.000Z,0,1.3882620260119438E-4
2026-03-15T00:00:00.000Z,0,2.9259847360663116E-4
2026-03-11T00:00:00.000Z,0,
2026-03-14T00:00:00.000Z,0,2.9199832351878285E-4
2026-08-28T00:00:00.000Z,0,-1.114511105697602E-4
2026-08-25T00:00:00.000Z,0,1.3221411791164428E-4
2026-08-27T00:00:00.000Z,0,1.0879208275582641E-4
2026-08-24T00:00:00.000Z,0,-2.1509747602976859E-4
2026-08-26T00:00:00.000Z,0,4.094845789950341E-4
2026-08-23T00:00:00.000Z,0,-4.6659738291054964E-4
2025-09-25T00:00:00.000Z,0,9.416283319296781E-6
2025-09-27T00:00:00.000Z,0,-2.0206166664138436E-4
2025-09-23T00:00:00.000Z,0,6.821612478233874E-4
2025-09-24T00:00:00.000Z,0,-1.2293842155486345E-4
2025-09-21T00:00:00.000Z,0,-1.7552981444168836E-4
2025-09-22T00:00:00.000Z,0,3.468487411737442E-4
2025-09-28T00:00:00.000Z,0,-2.1881135762669146E-4
2025-09-26T00:00:00.000Z,0,-2.61243199929595E-4
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,1.0739046410890296E-4
2025-10-28T00:00:00.000Z,0,-1.257143885595724E-4
2025-10-30T00:00:00.000Z,0,
2025-10-25T00:00:00.000Z,0,
2025-10-24T00:00:00.000Z,0,
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,
2026-01-13T00:00:00.000Z,0,
2026-01-16T00:00:00.000Z,0,
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
2026-04-06T00:00:00.000Z,0,
2026-04-02T00:00:00.000Z,0,2.7583714108914137E-4
2026-04-05T00:00:00.000Z,0,-9.791732009034604E-5
2026-04-04T00:00:00.000Z,0,
2026-04-08T00:00:00.000Z,0,5.8810146583709866E-5
2026-04-01T00:00:00.000Z,0,-1.1648096005956177E-5
2026-04-03T00:00:00.000Z,0,-7.898372132331133E-5
2026-04-07T00:00:00.000Z,0,5.341587893781252E-6
2026-07-21T00:00:00.000Z,0,-2.344794775126502E-4
2026-07-15T00:00:00.000Z,0,4.252237267792225E-4
2026-07-20T00:00:00.000Z,0,-3.353712963871658E-4
2026-07-17T00:00:00.000Z,0,6.542796618305147E-4
2026-07-16T00:00:00.000Z,0,-1.4642468886449933E-4
2026-07-14T00:00:00.000Z,0,-2.8586346888914704E-4
2026-07-19T00:00:00.000Z,0,2.2941865609027445E-4
2026-07-18T00:00:00.000Z,0,2.7231575222685933E-4
2026-05-21T00:00:00.000Z,0,
2026-05-19T00:00:00.000Z,0,
2026-05-23T00:00:00.000Z,0,-1.1070189793827012E-4
2026-05-25T00:00:00.000Z,0,
2026-05-26T00:00:00.000Z,0,8.665805944474414E-5
2026-05-20T00:00:00.000Z,0,2.4277430202346295E-4
2026-05-22T00:00:00.000Z,0,-1.7207621567649767E-5
2026-05-24T00:00:00.000Z,0,
2025-12-15T00:00:00.000Z,0,5.54879370611161E-5
2025-12-10T00:00:00.000Z,0,-2.1070940420031548E-4
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,1.0355111589888111E-4
2025-12-12T00:00:00.000Z,0,-1.1519566032802686E-4
2025-12-13T00:00:00.000Z,0,
2025-12-11T00:00:00.000Z,0,1.0823208140209317E-4
2025-12-14T00:00:00.000Z,0,9.054013935383409E-5
2026-07-31T00:00:00.000Z,0,-4.245226227794774E-5
2026-08-01T00:00:00.000Z,0,1.43609635415487E-4
2026-08-06T00:00:00.000Z,0,1.2063288886565715E-4
2026-07-30T00:00:00.000Z,0,-1.7377852054778486E-4
2026-08-04T00:00:00.000Z,0,1.4282755728345364E-4
2026-08-05T00:00:00.000Z,0,2.97310936730355E-4
2026-08-02T00:00:00.000Z,0,8.376942714676261E-4
2026-08-03T00:00:00.000Z,0,-2.9176066163927317E-4
2025-10-14T00:00:00.000Z,0,-1.4799440577917267E-5
2025-10-13T00:00:00.000Z,0,
2026-02-25T00:00:00.000Z,0,
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,
2026-02-27T00:00:00.000Z,0,-5.9897756727878004E-5
2026-06-13T00:00:00.000Z,0,-3.803930667345412E-5
2026-06-16T00:00:00.000Z,0,1.828290114644915E-4
2026-06-15T00:00:00.000Z,0,2.3096022778190672E-4
2026-06-19T00:00:00.000Z,0,6.711591267958283E-4
2026-06-18T00:00:00.000Z,0,-5.747599061578512E-5
2026-06-14T00:00:00.000Z,0,1.840573677327484E-4
2026-06-17T00:00:00.000Z,0,-2.467533922754228E-4
2026-06-12T00:00:00.000Z,0,
2026-03-03T00:00:00.000Z,0,-1.0539764480199665E-4
2026-03-05T00:00:00.000Z,0,-1.802879705792293E-4
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,
2026-03-04T00:00:00.000Z,0,-6.659824430244043E-5
2026-02-28T00:00:00.000Z,0,2.726571256062016E-5
2026-03-07T00:00:00.000Z,0,
2026-06-06T00:00:00.000Z,0,1.1706758959917352E-4
2026-06-11T00:00:00.000Z,0,7.586614810861647E-4
2026-06-05T00:00:00.000Z,0,-5.179217550903559E-4
2026-06-07T00:00:00.000Z,0,-2.171455998905003E-4
2026-06-10T00:00:00.000Z,0,5.818594945594668E-4
2026-06-09T00:00:00.000Z,0,-6.892625970067456E-5
2026-06-08T00:00:00.000Z,0,2.8274624492041767E-4
2026-06-04T00:00:00.000Z,0,1.2036089901812375E-4
2025-09-08T00:00:00.000Z,0,
2025-09-10T00:00:00.000Z,0,-2.677967131603509E-4
2025-09-12T00:00:00.000Z,0,1.894009910756722E-4
2025-09-11T00:00:00.000Z,0,8.985138265416026E-4
2025-09-06T00:00:00.000Z,0,-8.106549648800865E-5
2025-09-07T00:00:00.000Z,0,2.3428109125234187E-4
2025-09-09T00:00:00.000Z,0,-2.966505999211222E-4
2025-09-05T00:00:00.000Z,0,6.919027509866282E-5
2025-08-25T00:00:00.000Z,0,2.722597564570606E-4
2025-08-26T00:00:00.000Z,0,-0.0021253854501992464
2025-08-27T00:00:00.000Z,0,1.693575904937461E-4
2025-08-24T00:00:00.000Z,0,
2025-09-20T00:00:00.000Z,0,
2025-09-16T00:00:00.000Z,0,-1.7736847803462297E-4
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,4.379542588139884E-5
2025-09-14T00:00:00.000Z,0,2.074808071483858E-5
2025-09-19T00:00:00.000Z,0,-2.932380011770874E-4
2025-09-13T00:00:00.000Z,0,-1.1690809742503916E-6
2025-09-17T00:00:00.000Z,0,
2025-10-11T00:00:00.000Z,0,-8.56351398397237E-5
2025-10-12T00:00:00.000Z,0,
2025-10-09T00:00:00.000Z,0,-2.26046540774405E-4
2025-10-10T00:00:00.000Z,0,1.76655339600984E-5
2025-10-07T00:00:00.000Z,0,2.958502736873925E-4
2025-10-08T00:00:00.000Z,0,9.729557496029884E-5
2025-12-04T00:00:00.000Z,0,
